Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-26,49.778083161105165,50.370135113865054,49.64145391643886,49.96025085449219,15243802,0.0,0
2020-05-27,50.41567797441253,50.41567797441253,49.23157057225479,49.504825592041016,24540175,0.0,0
2020-05-28,49.186027207747294,50.187963409165825,48.54842986383278,49.2771110534668,25446099,0.0,0
2020-05-29,48.45734601811327,49.82362455166181,48.45734601811327,49.2771110534668,34066983,0.0,0
2020-06-01,50.64339097712591,51.46315950960726,50.46122328068658,50.55230712890625,23940780,0.0,0
2020-06-02,50.55230630206724,50.87110324024788,49.823625104350036,50.05133819580078,19094012,0.0,0
2020-06-03,50.05133819580079,51.280987499784445,50.00579627243584,50.05133819580078,35320202,0.0,0
2020-06-04,50.37013397018779,50.41567589250049,49.231568539240385,49.64145278930664,26279762,0.0,0
2020-06-05,49.32265761269296,50.005796895557815,49.04939911984616,49.77808380126953,36464515,0.0,0
2020-06-08,50.09687810695421,50.1424200284899,49.09494193466548,49.14048385620117,32336824,0.0,0
2020-06-09,49.96025483974101,51.463162752450714,49.732541730216894,50.91665267944336,37641412,0.0,0
2020-06-10,51.37207712161547,52.055216426559156,50.64339241664126,50.78002166748047,28243338,0.0,0
2020-06-11,50.59784852998405,51.09881663926586,49.77808348060273,49.86916732788086,28426697,0.0,0
2020-06-12,49.36820014093977,50.14242328114675,49.003857795768184,49.41374206542969,27743575,0.0,0
2020-06-15,48.8216867236531,49.09494522040719,48.093005506436484,48.36626052856445,36284970,0.0,0
2020-06-16,49.413742388393516,49.778084735946415,48.95831619126547,49.32265853881836,13060931,0.0,0
2020-06-17,49.14048736504191,49.50482623796867,48.45734806934984,49.32265853881836,14970636,0.0,0
2020-06-18,49.049397964542045,49.550369539877295,48.68505910703803,49.2771110534668,9393596,0.0,0
2020-06-19,49.869168259581116,50.27905252924263,49.36820014093977,49.41374206542969,19438769,0.0,0
2020-06-22,49.595910020809846,50.00579426388283,48.77614153466387,49.14048385620117,17252279,0.0,0
2020-06-23,49.09494420213861,49.86916732788086,48.32071760177031,49.86916732788086,20396020,0.0,0
2020-06-24,49.96025261696884,50.370136890801426,49.869168767062106,50.09688186645508,14178098,0.0,0
2020-06-26,49.36819995070209,49.59591304690033,48.63951873779297,48.63951873779297,18611696,0.0,0
